Average,BYTE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;DAY_TIME:DECIMAL:DOUBLE:YEAR_MONTH
DateAdd,DATE;BYTE:INTEGER:SHORT;DATE
DateSub,DATE;BYTE:INTEGER:SHORT;DATE
Hour,TIMESTAMP;INTEGER
Minute,TIMESTAMP;INTEGER
Second,TIMESTAMP;INTEGER
DayOfYear,DATE;INTEGER
DateFromUnixDate,INTEGER;DATE
UnixDate,DATE;INTEGER
TimeAdd,TIMESTAMP;CALENDAR:DAY_TIME;TIMESTAMP
SecondsToTimestamp,BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT;TIMESTAMP
MillisToTimestamp,BYTE:INTEGER:LONG:SHORT;TIMESTAMP
MicrosToTimestamp,BYTE:INTEGER:LONG:SHORT;TIMESTAMP
UnixSeconds,TIMESTAMP;LONG
UnixMillis,TIMESTAMP;LONG
UnixMicros,TIMESTAMP;LONG
Year,DATE;INTEGER
YearOfWeek,DATE;INTEGER
Quarter,DATE;INTEGER
Month,DATE;INTEGER
DayOfMonth,DATE;INTEGER
DayOfWeek,DATE;INTEGER
WeekDay,DATE;INTEGER
WeekOfYear,DATE;INTEGER
ToUnixTimestamp,DATE:STRING:TIMESTAMP;STRING;LONG
UnixTimestamp,DATE:STRING:TIMESTAMP;STRING;LONG
LastDay,DATE;DATE
NextDay,DATE;STRING;DATE
AddMonths,DATE;INTEGER;DATE
MonthsBetween,TIMESTAMP;TIMESTAMP;BOOLEAN;DOUBLE
TruncDate,DATE;STRING;DATE
DateDiff,DATE;DATE;INTEGER
MakeDate,INTEGER;INTEGER;INTEGER;DATE
UnscaledValue,DECIMAL;LONG
MakeDecimal,LONG;DECIMAL
CheckOverflow,DECIMAL;DECIMAL
Explode,ARRAY;ARRAY
Md5,BINARY;STRING
Sha2,BINARY;INTEGER;STRING
Sha1,BINARY;STRING
Crc32,BINARY;LONG
Murmur3Hash,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;INTEGER
